CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.StudentID
1024,2,3301,"10-11(B,D,F,H)",53
106,6,3300,"12-13(A,C,E,G)",53
1171,6,3302,6-7(F),53
330,9,3300,"12-13(B,D,F,H)",53
426,1,3300,"8-9(B,D,F,H)",53
606,2,3300,"4-5(A,C,E,G)",53
982,31,3301,"6(B,D,F,H)",53
983,52,3302,"11(A,C,E,G)",53
1050,2,3302,"6-7(C,G)",53
1170,5,3301,6-7(E),53
216,5,3300,"4-5(B,D,F,H)",53
540,3,3300,"8-9(A,C,E,G)",53
981,52,3301,"11(A,C,E,G)",53
984,51,3302,"10(B,D,F,H)",53
Junior HR,1,3300,1(A-H),53
1060,1,3301,"6-7(C,G)",53
106,9,3300,"6-7(B,D,F,H)",56
252,1,3300,"6-7(A,C,E,G)",56
411,3,3300,"8-9(B,D,F,H)",56
608,2,3300,"8-9(A,C,E,G)",56
716,1,3301,"2-4(B,D,F,H)",56
981,51,3301,"10(A,C,E,G)",56
983,51,3302,"10(A,C,E,G)",56
984,51,3302,"10(B,D,F,H)",56
335,1,3300,"4-5(A,C,E,G)",56
717,2,3302,"11-13(B,D,F,H)",56
982,52,3301,"11(B,D,F,H)",56
1171,1,3302,2-3(E),56
520,1,3300,"12-13(A,C,E,G)",56
1170,12,3301,12-13(D),56
Junior HR,2,3300,1(A-H),56
1170,12,3301,12-13(D),57
225,1,3300,"4-5(A,C,E,G)",57
335,3,3300,"10-11(A,C,E,G)",57
514,2,3300,"8-9(A,C,E,G)",57
891,1,3302,"6-7(B,D,F,H)",57
922,1,3301,"6-7(B,D,F,H)",57
982,41,3301,"8(B,D,F,H)",57
984,41,3302,"8(B,D,F,H)",57
106,11,3300,"10-11(B,D,F,H)",57
1171,12,3302,12-13(D),57
411,2,3300,"2-3(B,D,F,H)",57
608,1,3300,"2-3(A,C,E,G)",57
981,31,3301,"6(A,C,E,G)",57
983,31,3302,"6(A,C,E,G)",57
Junior HR,4,3300,1(A-H),57
106,5,3300,"12-13(A,C,E,G)",58
1171,9,3302,10-11(E),58
510,10,3300,"6-7(A,C,G)",58
608,6,3300,"10-11(B,D,F,H)",58
718,6,3302,"2-3(A,C,E,G)",58
982,41,3301,"8(B,D,F,H)",58
984,41,3302,"8(B,D,F,H)",58
1170,1,3301,2-3(E),58
411,2,3300,"2-3(B,D,F,H)",58
510L,10,3300,6-7(E),58
981,42,3301,"9(A,C,E,G)",58
983,42,3302,"9(A,C,E,G)",58
380,1,3301,"4-5(A,C,E,G)",58
216,3,3300,"10-11(A,C,E,G)",58
Junior HR,1,3300,1(A-H),58
330,3,3300,"6-7(B,D,F,H)",58
106,7,3300,"2-3(B,D,F,H)",60
1092,3,3301,"4-5(A,C,E,G)",60
1171,3,3302,4-5(C),60
330,3,3300,"6-7(B,D,F,H)",60
411,1,3300,"12-13(A,C,E,G)",60
608,1,3300,"2-3(A,C,E,G)",60
1094,1,3301,"4-5(B,D,F,H)",60
252,1,3300,"6-7(A,C,E,G)",60
520,5,3300,"12-13(B,D,F,H)",60
806,2,3300,"14(B,D,F,H)",60
840,1,3300,"8(A-H) 9(A,C,E,G)",60
841,1,3300,"10-11(B,D,F,H)",60
981,52,3301,"11(A,C,E,G)",60
982,42,3301,"9(B,D,F,H)",60
983,51,3302,"10(A,C,E,G)",60
984,42,3302,"9(B,D,F,H)",60
Junior HR,6,3300,1(A-H),60
1170,99,3301,"14(A,C,E,G)",60
216,1,3300,"2-3(A,C,E,G)",62
330,4,3300,"8-9(A,C,E,G)",62
514,4,3300,"2-3(B,D,F,H)",62
981,22,3301,"5(A,C,E,G)",62
984,52,3302,"11(B,D,F,H)",62
106,5,3300,"12-13(A,C,E,G)",62
1171,5,3302,6-7(E),62
427,1,3300,"4-5(B,D,F,H)",62
608,7,3300,"12-13(B,D,F,H)",62
719,7,3301,"8-9(B,D,F,H)",62
806,2,3300,"14(B,D,F,H)",62
